Altium Designer Pick and Place Locations
C:\Repo\cnc_projects\STM32F446CE_CNC_BOARD\Project Outputs for FLEXI_HAL_2000\FLEXI_HAL_2000_UPLOAD_GERBERS_A4\Pick Place\FLEXI_HAL_2000_CAM_OUTPUT_A4.txt

========================================================================================================================
File Design Information:

Date:       03-08-22
Time:       11:32
Revision:   3607a5cc18939c10a6c6433affdf817dc8ca3d51
Variant:    FULL_PLACE
Units used: mil

Designator Comment                                     Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                      
Logo2      "Expatria Technologies"                     TopLayer    Expatria-Logo                 3952.302      2020.019      315      ""                                                                                                               
C54_LS_Z   100nF                                       TopLayer    0603_C                        1117.913      1599.409      0        "Chip capacitors"                                                                                                
C54_LS_Y   100nF                                       TopLayer    0603_C                        939.961       1594.488      0        "Chip capacitors"                                                                                                
C54_LS_X   100nF                                       TopLayer    0603_C                        767.716       1599.410      0        "Chip capacitors"                                                                                                
C54_LS_B   100nF                                       TopLayer    0603_C                        1470.669      1599.409      0        "Chip capacitors"                                                                                                
C54_LS_A   100nF                                       TopLayer    0603_C                        1293.504      1599.409      0        "Chip capacitors"                                                                                                
C6         100nF                                       TopLayer    0603_C                        1909.449      688.976       0        "Chip capacitors"                                                                                                
P19        "Header 3X2"                                TopLayer    HDR2X3                        2732.087      787.402       90       "Header, 3-Pin, Dual row"                                                                                        
D21        SM712                                       TopLayer    SOT95P230X117-3N              4281.496      457.677       90       "Bidirectional 12V (Max), 7V (Max) 7.5V / 13.3V 10V / 20V 12A(8/20us) SOT-23-3 TVS RoHS"                         
R51        "10KO ±1%"                                  TopLayer    0603_R                        592.540       582.697       45       "Chip resistor"                                                                                                  
R27        "1KO ±1%"                                   TopLayer    0603_R                        3223.425      1963.583      270      "Chip resistor"                                                                                                  
R24        "0O ±1%"                                    TopLayer    0603_R                        4655.512      1889.764      270      "Chip resistor"                                                                                                  
C75        4.7uF                                       TopLayer    0603_C                        639.764       472.441       135      "Chip capacitors"                                                                                                
C45        10uF                                        TopLayer    1206_C                        3577.756      1259.843      270      "Chip capacitors"                                                                                                
C15        1uF                                         TopLayer    0603_C                        4025.591      2278.543      180      "Chip capacitors"                                                                                                
R74        "1KO ±1%"                                   TopLayer    0603_R                        1909.449      1200.787      0        "Chip resistor"                                                                                                  
D17        "0603 Yellow"                               TopLayer    0603_LED_S1                   1766.732      1200.787      180      LED                                                                                                              
Q10        "MMBT5551  G1"                              TopLayer    SOT-23(SOT-23-3)              2194.882      836.614       0        ???                                                                                                              
R87        "0O ±1%"                                    TopLayer    0603_R                        4630.906      1028.543      0        "Chip resistor"                                                                                                  
R85        "1.91KO ±1%"                                TopLayer    0603_R                        3056.102      959.646       0        "Chip resistor"                                                                                                  
R83        "22O ±1%"                                   TopLayer    0603_R                        1131.890      1373.032      90       "Chip resistor"                                                                                                  
R68        "10KO ±1%"                                  TopLayer    0603_R                        3056.102      1033.465      180      "Chip resistor"                                                                                                  
R64        "4.7KO ±1%"                                 TopLayer    0603_R                        866.142       383.858       270      "Chip resistor"                                                                                                  
R63        "4.7KO ±1%"                                 TopLayer    0603_R                        792.323       383.858       270      "Chip resistor"                                                                                                  
R59        "10KO ±1%"                                  TopLayer    0603_R                        4242.126      1397.638      0        "Chip resistor"                                                                                                  
R55        "10KO ±1%"                                  TopLayer    0603_R                        2307.283      2327.756      0        "Chip resistor"                                                                                                  
R54        "10KO ±1%"                                  TopLayer    0603_R                        2445.866      2327.756      180      "Chip resistor"                                                                                                  
R46        "1KO ±1%"                                   TopLayer    0603_R                        300.197       1166.339      0        "Chip resistor"                                                                                                  
R42        "4.7KO ±1%"                                 TopLayer    0603_R                        590.551       418.307       315      "Chip resistor"                                                                                                  
R41        "1KO ±1%"                                   TopLayer    0603_R                        300.197       1018.701      0        "Chip resistor"                                                                                                  
R38        "47KO ±1%"                                  TopLayer    0603_R                        4242.126      1471.457      0        "Chip resistor"                                                                                                  
R31        "1KO ±1%"                                   TopLayer    0603_R                        4571.850      1510.827      180      "Chip resistor"                                                                                                  
R29        "0O ±1%"                                    TopLayer    0603_R                        4670.276      1481.299      270      "Chip resistor"                                                                                                  
R28        "10KO ±1%"                                  TopLayer    0603_R                        1727.362      1446.850      0        "Chip resistor"                                                                                                  
R21_PH_HLT "1KO ±1%"                                   TopLayer    0603_R                        2691.929      1102.362      180      "Chip resistor"                                                                                                  
R21_PH_FD  "1KO ±1%"                                   TopLayer    0603_R                        2687.795      1299.213      180      "Chip resistor"                                                                                                  
R21_PH_DR  "1KO ±1%"                                   TopLayer    0603_R                        2691.929      1028.543      180      "Chip resistor"                                                                                                  
R21_PH_CY  "1KO ±1%"                                   TopLayer    0603_R                        2687.008      1373.032      180      "Chip resistor"                                                                                                  
R20_PH_DR  "4.7KO ±1%"                                 TopLayer    0603_R                        2578.740      2244.095      180      "Chip resistor"                                                                                                  
R19        "1KO ±1%"                                   TopLayer    0603_R                        1638.779      2667.323      180      "Chip resistor"                                                                                                  
R15        "1KO ±1%"                                   TopLayer    0603_R                        1909.449      910.433       0        "Chip resistor"                                                                                                  
R14        "1KO ±1%"                                   TopLayer    0603_R                        1909.449      1053.150      0        "Chip resistor"                                                                                                  
R11        "1KO ±1%"                                   TopLayer    0603_R                        1909.449      979.331       0        "Chip resistor"                                                                                                  
R10        "1KO ±1%"                                   TopLayer    0603_R                        1909.449      1126.968      0        "Chip resistor"                                                                                                  
R6         "1KO ±1%"                                   TopLayer    0603_R                        300.197       708.661       0        "Chip resistor"                                                                                                  
Q16        AO3400A                                     TopLayer    SOT-23-3L                     4627.953      1224.409      270      "MOSFET N-CH 30V 5.7A SOT23-3L"                                                                                  
Q9         AO3400A                                     TopLayer    SOT-23-3L                     4571.850      1638.780      270      "MOSFET N-CH 30V 5.7A SOT23-3L"                                                                                  
Q7         AO3400A                                     TopLayer    SOT-23-3L                     4173.228      1978.347      270      "MOSFET N-CH 30V 5.7A SOT23-3L"                                                                                  
Q4         "AO3400A N"                                 TopLayer    SOT-23-3L                     2317.913      605.315       270      MOS(????)                                                                                                        
D23        "B5819W  SL"                                TopLayer    SOD-123                       4552.166      1387.795      270      "Schottky Diode"                                                                                                 
D11        "B5819W  SL"                                TopLayer    SOD-123                       4675.197      1653.543      90       "Schottky Diode"                                                                                                 
D10        "0603 White"                                TopLayer    0603_LED_S1                   4404.528      1476.378      0        LED                                                                                                              
D8         "0603 Red"                                  TopLayer    0603_LED_S1                   1766.732      905.512       180      LED                                                                                                              
D7         "0603 Yellow"                               TopLayer    0603_LED_S1                   1766.732      1053.149      180      LED                                                                                                              
D6         "0603 Green"                                TopLayer    0603_LED_S1                   1766.732      979.331       180      LED                                                                                                              
D4         "0603 White"                                TopLayer    0603_LED_S1                   1766.732      1126.968      180      LED                                                                                                              
D2         "0603 Green"                                TopLayer    0603_LED_S1                   4242.126      1318.898      180      LED                                                                                                              
C56        8.2nF                                       TopLayer    0603_C                        3257.874      787.402       180      "Chip capacitors"                                                                                                
C55        8.2nF                                       TopLayer    0603_C                        3056.102      1107.284      0        "Chip capacitors"                                                                                                
C54_PH_DR  100nF                                       TopLayer    0603_C                        2578.740      2322.835      0        "Chip capacitors"                                                                                                
C52        10pF                                        TopLayer    0603_C                        3061.024      885.827       0        "Chip capacitors"                                                                                                
C49        4.7uF                                       TopLayer    0603_C                        3415.354      698.819       270      "Chip capacitors"                                                                                                
C47        10nF                                        TopLayer    0603_C                        3262.795      1225.394      270      "Chip capacitors"                                                                                                
C46        10uF                                        TopLayer    1206_C                        3179.134      1250.000      270      "Chip capacitors"                                                                                                
C39        100nF                                       TopLayer    0603_C                        1496.063      2258.858      0        "Chip capacitors"                                                                                                
C38        100nF                                       TopLayer    0603_C                        1515.748      2667.323      180      "Chip capacitors"                                                                                                
C37        1uF                                         TopLayer    0603_C                        2234.252      2716.535      90       "Chip capacitors"                                                                                                
C36        100nF                                       TopLayer    0603_C                        2160.433      2718.504      90       "Chip capacitors"                                                                                                
C34        1uF                                         TopLayer    0603_C                        536.417       2696.850      180      "Chip capacitors"                                                                                                
